Date,Address,lat,lon,Killed,Injured
5/18/14,"1643 Cleveland Rd, Sandusky, Ohio",41.4429784,-82.6858564,0,7
5/21/14,"4500 block of Village Fair Drive, Dallas, Texas",32.694118,-96.826773,1,3
5/23/14,"840 Embarcadero Del Norte, Goleta (Isla Vista), California",34.4144407,-119.8553881,4,8
5/23/14,"6200 block of Eads Street, New Orleans, Louisiana",30.0227315,-90.0507377,1,7
5/23/14,"9541 Flower Street, Bellflower, California",33.8821979,-118.1303257,2,2
5/24/14,"Strathmoor Street, Detroit, Michigan",42.3983304,-83.1876231,0,4
5/24/14,"Ocean Boulevard near First Avenue North, Myrtle Beach, South Carolina",33.8173389,-78.6776649,3,1
5/25/14,"2100 block of Joffre Avenue, Toledo, Ohio",41.6616563,-83.5864427,1,3
5/31/14,"N/A, San Bernardino, California",34.1083449,-117.2897652,1,3
6/1/14,"West Ferdinand Street and North Lavergne Avenue , Chicago, Illinois",41.889518,-87.7504935,1,5
6/1/14,"6500 46th Street, Sacramento, California",38.5080909,-121.4523736,0,4
6/2/14,"2660 E. 79th St, Chicago, Illinois",41.7520884,-87.5591756,0,7
6/3/14,"Auburn Avenue, Atlanta, Georgia",33.7537814,-84.376547,1,4
6/4/14,"4900 West West End Avenue, Chicago, Illinois",41.8832704,-87.7481862,1,3
6/7/14,"Tish Lane, Moncks Corner, South Carolina",33.1711351,-80.13114,1,5
6/7/14,"10811 W. Ten Mile Rd., Oak Park, Michigan",42.4742091,-83.1719483,1,3
6/8/14,"611 Hardin Street, Opp, Alabama",31.2725286,-86.2531908,1,4
6/9/14,"Rosa Parks Boulevard and Godwin Avenue, Paterson, New Jersey",40.9206769,-74.1590819,0,6
6/13/14,"8600 block of South Figueroa Street, Los Angeles, California",33.9597297,-118.2824149,3,1
6/15/14,"5100 Clinton Drive, Kokomo, Indiana",40.4367955,-86.1250352,0,4
6/20/14,"6600 block of Greig Street, Seat Pleasant, Maryland",38.9001431,-76.9058536,0,4
6/21/14,"Florida Avenue and U Street NW, Washington, District of Columbia",38.9204944,-77.0296626,0,4
6/21/14,"2119 East Alcy Road, Memphis, Tennessee",35.0782535,-89.9918309,0,5
6/24/14,"Northwest 12th Avenue and 65th Street, Miami, Florida",25.8342871,-80.2167252,2,7
6/25/14,"Midland Street, Lowell, Massachusetts",42.6235115,-71.3268546,0,5
6/26/14,"Grand St, Detroit, Michigan",42.3936105,-83.1258155,2,2
6/26/14,"24th and Locust, Milwaukee, Wisconsin",43.0714769,-87.9423791,0,5
6/27/14,"1800 block of Cathy Street, San Diego, California",32.5872545,-117.0946296,1,3
